YouTube Channel,Link,Join_Date,Last_Date,Active,Category,No_Videos,Total_Views,Subscribers ,Days_Active,Weeks_Active,Months_Active,Years_Active,Join_Year
Nancie Mwai,https://www.youtube.com/@NancieMwaii,2010/11/22,2019/08/06,0,Beauty,NA,NA,"41,100",3179,454,106,9,2010
Joy Kendi,https://www.youtube.com/@JoyKendiKE,2014/10/27,2022/10/11,0,Beauty,113,"5,153,920","68,000",2906,415,97,8,2014
Kangai Mwiti,https://www.youtube.com/@kangai,2014/01/01,2018/09/05,0,Beauty,NA,NA,"95,900",1708,244,57,5,2014
Muthoni Gitau,https://www.youtube.com/@IAmMuthoniGitau,2015/03/01,2023/08/29,0,Beauty,248,"2,735,810","37,800",3103,443,103,9,2015
Duchess Gabrielle,https://www.youtube.com/@duchessgabrielle,2009/09/04,2021/04/10,0,Beauty,171,"6,720,390","50,900",4236,605,141,12,2009
Esther Kuria,https://www.youtube.com/@EstherKuria95,2016/09/05,2023/08/22,1,Beauty,346,"6,111,854","114,000",2542,363,85,7,2016
Joanna Kinuthia,https://www.youtube.com/@JoannaKinuthia,2017/01/05,2023/08/03,1,Beauty,479,"16,415,538","151,000",2401,343,80,7,2017
Rosina Sharon,https://www.youtube.com/@RosinaSharon,2018/04/02,2023/06/02,0,Beauty,240,"45,538,927","781,000",1887,270,63,5,2018
Shykoh Mwangi,https://www.youtube.com/@shikomwangi,2017/08/28,2023/09/03,1,Beauty,245,"773,862","11,900",2197,314,73,6,2017
Sheila Ndinda,https://www.youtube.com/@SheilaNdindavideos,2016/01/19,2019/05/12,0,Beauty,58,"5,423,451","87,500",1209,173,40,3,2016
Craving Yellow,https://www.youtube.com/@CravingYellow,2014/12/31,2021/12/02,0,Beauty,139,"4,891,863","69,800",2528,361,84,7,2014
Maureen Kunga,https://www.youtube.com/@MaureenKunga,2018/09/26,2020/07/14,0,Beauty,38,"974,704","28,000",657,94,22,2,2018
Kemunto Bear,https://www.youtube.com/@KemuntoBear,2016/06/14,2023/08/31,0,Beauty,1200,"13,137,127",43000,2634,376,88,7,2016
Kaluhi's Kitchen,https://www.youtube.com/@Kaluhiskitchen,2018/01/02,2023/08/23,0,Food,167,"4,139,784","83,200",2059,294,69,6,2018
Mandi Sarro,https://www.youtube.com/@MandiSarro,2013/07/10,2023/07/27,0,Food,232,"7,927,338","95,000",3669,524,122,10,2013
Chef Raphael,https://www.youtube.com/@ChefRaphael,2013/05/22,2023/09/01,0,Food,416,"16,911,974","267,000",3754,536,125,10,2013
Leo Tunapika,https://www.youtube.com/@leotunapika6835,2017/11/21,2023/07/17,0,Food,165,"1,565,094","20,100",2064,295,69,6,2017
Pika Chakula,https://www.youtube.com/@pikachakula,2017/03/07,2023/08/12,0,Food,712,"3,570,669","26,500",2349,336,78,6,2017
Kanes Kitchen Affair,https://www.youtube.com/@kaneskitchenaffair,2018/10/30,2023/08/27,0,Food,197,"792,870","15,800",1762,252,59,5,2018
Sheenas Kitchen,https://www.youtube.com/channel/UCBcuWOtcPQMRvDUBp9et00g,2015/10/16,2021/02/05,1,Food,65,"1,088,960","15,600",1939,277,65,5,2015
Nairobi Kitchen,https://www.youtube.com/@NairobiKitchen,2019/03/16,2023/01/21,1,Food,279,"2,237,448","18,500",1407,201,47,4,2019
Pika na Raych,https://www.youtube.com/@PIKANARAYCH,2019/04/16,2023/08/21,0,Food,304,"19,815,162",233000,1588,227,53,4,2019
Over Twenty Five,https://www.youtube.com/@overtwentyfive7805,2016/05/30,2022/12/19,1,Lifestyle,203,"17,510,561","157,000",2394,342,80,7,2016
Just Gym It,https://www.youtube.com/@JustGymItKenya,2016/05/01,2023/09/03,0,Lifestyle,206,"5,588,417","50,600",2681,383,89,7,2016
Wahura,https://www.youtube.com/@wahurakabutha,2016/10/10,2023/05/07,1,Lifestyle,180,"5,569,421","73,300",2400,343,80,7,2016
Edgar Obare,https://www.youtube.com/@EdgarObare,2018/05/05,2023/03/25,1,Lifestyle,249,"11,679,639","135,000",1785,255,60,5,2018
Ivy Melania,https://www.youtube.com/@IvyMelania,2016/10/12,2023/06/18,0,Lifestyle,222,"1,755,718","24,100",2440,349,81,7,2016
Geek on Fashion,https://www.youtube.com/@GeekonFashionKenya,2019/03/21,2023/08/29,0,Lifestyle,273,"3,503,058","25,100",1622,232,54,4,2019
Natalie Tewa,https://www.youtube.com/@NatalieTewa,2015/02/11,2023/07/02,0,Lifestyle,69,"6,483,016","110,000",3063,438,102,8,2015
Corazon Little World,https://www.youtube.com/@TheCorazonShow,2020/07/05,2023/08/12,0,Lifestyle,40,"1,960,787","34,800",1133,162,38,3,2020
Vera Sidika,https://www.youtube.com/@veesbeiby465,2018/04/06,2023/08/28,0,Lifestyle,24,"6,911,727","128,000",1970,281,66,5,2018
Patricia Kihoro,https://www.youtube.com/@misskihoro,2010/12/01,2021/09/24,1,Lifestyle,46,"2,110,840","39,700",3950,564,132,11,2010
Sharon Mundia,https://www.youtube.com/@SharonMundiaVideos,2013/10/09,2023/06/06,0,Lifestyle,291,"11,054,949","78,600",3527,504,118,10,2013
The Wajesus,https://www.youtube.com/@THEWAJESUSFAMILY,2016/11/30,2023/09/01,0,Lifestyle,647,"130,237,554","668,000",2466,352,82,7,2016
Tracy Wanjiru,https://www.youtube.com/@TracyWanjiru,2017/02/14,2021/06/03,1,Lifestyle,45,"494,845","12,500",1570,224,52,4,2017
Lynn Ngugi,https://www.youtube.com/@LynnNgugi,2015/07/17,2023/09/02,0,Lifestyle,360,"104,918,731","691,000",2969,424,99,8,2015
Milly Chebby,https://www.youtube.com/@MillyChebby,2017/08/13,2023/08/23,0,Lifestyle,455,"45,296,500","384,000",2201,314,73,6,2017
Maureen Waititu,https://www.youtube.com/@maureenwaititu7749,2019/08/25,2023/08/18,0,Lifestyle,84,"2,828,063","64,600",1454,208,48,4,2019
UKE Webcast,https://www.youtube.com/@UKEWebcast,2018/11/14,2023/01/11,1,Lifestyle,90,"926,897","10,700",1519,217,51,4,2018
Maxine Wabosha,https://www.youtube.com/@WaboshaMaxine,2016/09/25,2023/08/09,0,Lifestyle,383,"21,056,368","237,000",2509,358,84,7,2016
Georgina Njenga,https://www.youtube.com/@GeorginaNjenga,2020/11/20,2023/03/07,1,Lifestyle,50,"12,072,017",244000,837,120,28,2,2020
Pritty Vishi,https://www.youtube.com/@prittyvishyofficial/,2022/07/21,2023/08/24,0,Lifestyle,79,"1,463,877","32,600",399,57,13,1,2022
Tileh & Martina,https://www.youtube.com/@TilehMartina,2020/07/09,2023/07/03,0,Lifestyle,34,"32,731,530","265,000",1089,156,36,5,2020
Sprinkles of Keranta,https://www.youtube.com/@keranta,2020/07/10,2023/09/04,0,Lifestyle,93,"8,019,742","144,000",1151,164,38,5,2020
States Entertainment,https://www.youtube.com/@StatesEntertainment,2020/12/25,2023/08/31,0,Lifestyle,157,"7,469,469","83,900",979,140,33,5,2020
Felicity Shiru,https://www.youtube.com/@felicityshiruofficial,2021/09/24,2023/09/03,0,Lifestyle,254,"25,027,225","244,000",709,101,24,3,2021
Hunch Show,https://www.youtube.com/@hunchshow,2021/07/19,2023/07/25,0,Lifestyle,211,"9,037,120","107,000",736,105,25,4,2021
